CENSUS TRACT,2010 POPULATION,LACKING HEALTH INSURANCE,ARTHRITIS,BINGE DRINKING,HIGH BLOOD PRESSURE,BLOOD PRESSURE MEDICINE,CANCER (EXCLUDING SKIN CANCER),ASTHMA,CERVICAL CANCER SCREENING,CORONARY HEART DISEASE,ROUTINE CHECKUP,CHOLESTEROL SCREENING,COLON SCREENING,COPD,MEN CORE PREVENTATIVE SERVICES,WOMEN CORE PREVENTATIVE SERVICES,CURRENT SMOKER,DENTAL VISIT,DEPRESSION,DIABETES,GENERAL HEALTH,HIGH CHOLESTEROL,CHRONIC KIDNEY DISEASE,NO LEISURE-TIME PHYSICAL ACTIVITY,MAMMOGRAPHY USE FOR OLDER WOMEN,POOR MENTAL HEALTH,OBESITY,POOR PHYSICAL HEALTH,LESS THAN 7 HOURS SLEEP,STROKE,SENIORS WITH ALL TEETH LOST,GEOLOCATION
22033000100,"1,624",27.20%,29.50%,15.50%,53.10%,76.20%,4.70%,13.30%,79%,9%,82.40%,82.50%,49.80%,12.20%,16%,15.10%,36.10%,29.50%,25.70%,21.40%,41.40%,32.10%,5.50%,51.70%,83%,26.40%,51.90%,24.10%,52.10%,7.30%,46.10%,POINT (-91.16094905 30.50439235)
22033000200,"6,750",25.30%,29.90%,15.80%,52.70%,76.60%,5%,12.90%,81.30%,9%,82.80%,84.40%,53.70%,11.90%,18.20%,17.30%,34%,35.30%,25.30%,20.70%,39.30%,32.50%,5.40%,49.70%,82.80%,25.20%,50.50%,23.20%,50.30%,7.10%,38.60%,POINT (-91.13773341 30.49833781)
22033000300,"1,795",23.80%,28%,17.10%,50.90%,75.80%,4.80%,12.40%,82.60%,7.80%,82.80%,85.30%,55.30%,10.20%,18.80%,18.10%,32.10%,39.50%,24.30%,19.10%,36%,31.80%,4.70%,46.40%,83.50%,23.50%,49%,20.90%,49.70%,6.30%,33.80%,POINT (-91.16226901 30.49410754)
22033000400,"3,082",25%,29.60%,16.20%,52.10%,76.30%,5%,13.20%,83%,8.60%,82.80%,85.20%,55.80%,11.70%,20.60%,18.50%,33.60%,40.90%,25.70%,20.30%,38.90%,32.60%,5.20%,48.50%,83.40%,25.10%,49.90%,23%,49%,6.90%,32%,POINT (-91.14858192 30.49269839)
22033000500,"4,152",25.10%,29.80%,16.20%,53%,77.40%,5.20%,12.80%,81.30%,8.90%,83.40%,84.60%,55.30%,11.30%,18.20%,18.10%,32.30%,37%,24.30%,21.10%,38.40%,33.30%,5.30%,48.30%,82.40%,23.80%,49.40%,22.20%,49.90%,7.20%,37.50%,POINT (-91.16269377 30.47914282)
22033000601,"3,645",22.20%,27.80%,17%,50.50%,76.20%,4.80%,12.20%,84.10%,7.40%,83.40%,84.70%,59.80%,9.70%,20.20%,20.40%,30.50%,43.70%,23.80%,18.90%,34.10%,31.40%,4.70%,45.40%,83.80%,23%,49%,20.10%,48.80%,6.10%,28.10%,POINT (-91.14865844 30.48302563)
22033000602,"4,275",19%,29.40%,16.50%,51.90%,79.30%,5.80%,11.50%,84.80%,7.90%,85.10%,89.30%,62.50%,9%,20.80%,20.40%,25%,46.30%,21.80%,19.60%,30.70%,33.70%,4.90%,40.60%,83.90%,19.20%,46.30%,18.10%,47.50%,6.40%,27.70%,POINT (-91.14815932 30.4720215)
22033000701,"2,433",24.60%,27.50%,16.80%,50.10%,75.30%,4.60%,12.40%,81.30%,8%,82%,85.20%,53.20%,10.40%,18.40%,17.70%,31.80%,35.90%,24.60%,19%,36.60%,31.30%,4.90%,47.10%,82.60%,24.20%,49.20%,21.50%,50.10%,6.30%,36.50%,POINT (-91.12921292 30.48349894)
22033000702,"3,594",18.90%,25.30%,18.10%,46.40%,75%,4.90%,11.50%,83.70%,6.60%,83.80%,86.30%,61.70%,7.80%,21.40%,20.10%,24.80%,47.30%,22.70%,16.40%,28.10%,30%,4.20%,39.30%,84.40%,20.60%,44.80%,16.80%,47.30%,5.30%,25.60%,POINT (-91.12596842 30.47502259)
22033000900,"4,239",21.20%,31%,15.80%,54.20%,80.20%,6.20%,11.70%,83.40%,8.90%,85.20%,88.70%,59.90%,10.10%,19.50%,18.80%,26.90%,41.70%,21.70%,21.40%,34%,34.70%,5.40%,44.20%,82.80%,19.90%,47.10%,19.70%,48%,7.30%,33.50%,POINT (-91.16132292 30.46187142)
22033001000,"3,527",22.10%,31.80%,15.40%,55.50%,79.90%,6.10%,12%,83.30%,9.80%,84.90%,88.40%,58%,10.90%,18.70%,17.70%,28.60%,39.90%,22.40%,22.50%,36.40%,34.60%,6%,46.30%,83.70%,21.40%,49.20%,21.50%,49%,7.90%,34.50%,POINT (-91.14727576 30.45955538)
22033001102,"3,388",21.70%,30%,16%,48.10%,77.70%,7.50%,11.10%,81%,9.60%,83.80%,87.10%,61.40%,10.30%,23.90%,19.40%,24.10%,47.20%,23.30%,16.70%,30.90%,33.50%,5%,42.50%,79.50%,20.20%,40.10%,18.60%,43.20%,6.40%,28%,POINT (-91.10896635 30.46142146)
22033001103,"3,281",18%,24.10%,19.20%,43.80%,73.40%,4.70%,11.30%,82.40%,5.90%,83.10%,86.80%,57.90%,7.20%,19.70%,19.10%,24.50%,42.10%,23.30%,14.50%,25.90%,28.90%,3.80%,37.60%,83.50%,20.40%,43.90%,15.70%,48%,4.60%,30.20%,POINT (-91.13381968 30.46060089)
22033001104,"4,430",29.40%,26.80%,16.20%,49.70%,72.40%,4%,13.90%,78.20%,7.90%,80.90%,81.90%,49%,11.70%,16.50%,15.70%,36.80%,31.20%,27.10%,19.10%,41.80%,29.40%,5.10%,52.10%,82.40%,28.40%,51.50%,24.10%,51.60%,6.60%,44.20%,POINT (-91.12167318 30.46014988)
22033001600,"3,515",11%,19.60%,24.70%,33.20%,71.60%,5%,8.70%,85.90%,4.30%,79.80%,88.10%,68.50%,4.60%,29.40%,26.60%,16%,64.80%,23.10%,9%,14.90%,28%,2.50%,24.20%,83.50%,15.10%,33.20%,10.30%,38.10%,2.80%,13.30%,POINT (-91.16065791 30.44578685)
22033001700,"5,132",10.40%,23.40%,23.10%,36.40%,75.40%,6.40%,8.40%,87.40%,5.50%,80.50%,88.90%,69.40%,5.60%,31.50%,28.30%,16.30%,68.20%,23.30%,10.10%,15.80%,32.10%,2.90%,25.10%,82.40%,14.50%,33.20%,11.40%,35.70%,3.20%,11.40%,POINT (-91.14568638 30.44233895)
22033001800,"2,555",13.60%,25.60%,21.40%,37.80%,75.50%,7.50%,8.50%,84.80%,6.70%,80.70%,88%,66%,6.80%,29.60%,22.90%,17.60%,60.50%,23.30%,10.30%,18.50%,32.40%,3.30%,29.30%,80.30%,15.60%,33.10%,13%,37.50%,3.70%,16.20%,POINT (-91.12538698 30.44812339)
22033001900,"2,523",7.40%,22.50%,24.70%,31.40%,74.70%,7.40%,7.30%,89.30%,4.80%,80.30%,90.60%,74.70%,4.50%,38.20%,33.50%,12.10%,77.50%,23%,7.30%,11%,32.80%,2.30%,19.10%,81.20%,11.90%,27.50%,9.10%,30.80%,2.40%,6%,POINT (-91.12450349 30.43995644)
22033002000,"3,435",7.70%,26.60%,21.70%,36.20%,79.20%,9.20%,7.20%,87.50%,6.20%,82.50%,91.60%,73.30%,5.40%,36.10%,30.90%,12%,74%,22.30%,9.10%,12.40%,36.40%,2.90%,21%,79.70%,11.40%,27.30%,10.10%,31.20%,3%,8.80%,POINT (-91.098966 30.44061225)
22033002200,"1,446",22.90%,28.60%,17.50%,49.90%,77.10%,5.40%,12%,81.60%,9%,81.80%,84.70%,56.40%,10.70%,18.90%,17.50%,29.40%,41.10%,24.60%,19.80%,35.50%,32.70%,5.30%,45%,83.70%,23%,46%,20.90%,47%,7%,34.80%,POINT (-91.17399444 30.43579642)
22033002300,"2,776",6.90%,19.80%,27.40%,27.90%,71.80%,6.40%,7.30%,88.30%,4.20%,78.50%,88.40%,73.70%,3.80%,37.70%,32.60%,11.20%,77.60%,23.70%,6.30%,9.80%,30.20%,2.10%,17.30%,82.10%,12.10%,26.40%,8.30%,30.40%,2%,5.90%,POINT (-91.15903171 30.43286726)
22033002400,"2,682",20.90%,22.70%,20.80%,41.10%,72.10%,4.40%,10.80%,80.20%,6.40%,79.10%,83.20%,57.80%,7.80%,20.70%,19.40%,25.70%,45%,24.40%,14.40%,28%,29%,3.90%,38.50%,83.70%,21.40%,41.20%,16.70%,44.90%,4.80%,30%,POINT (-91.19048505 30.42581216)
22033002500,"3,504",15.90%,18.40%,24.40%,33%,69.70%,3.90%,10.30%,78.50%,4.80%,78.30%,80.50%,62.70%,5.70%,22.20%,20.90%,19.90%,54.50%,25.40%,10.60%,20.10%,25.10%,3%,31.30%,83.60%,20.80%,34%,12.60%,40.80%,3.60%,23.90%,POINT (-91.17455967 30.42579898)
22033002601,"3,822",8.10%,20.40%,26.70%,29.10%,71.90%,6.10%,7.80%,86.70%,4.70%,78%,86.30%,71.20%,4.60%,35.30%,30.80%,13.40%,73.90%,24.90%,7.20%,11.70%,29.90%,2.30%,20.10%,82.10%,14.10%,28%,9.50%,31.80%,2.30%,7.70%,POINT (-91.15654121 30.41675429)
22033002602,"3,916",10.20%,23.60%,22.80%,34.50%,74.30%,6.90%,8.30%,85.80%,6%,80.10%,87.70%,67.60%,5.80%,32.90%,27.50%,15.40%,66.80%,24.20%,9%,15.10%,31.70%,2.90%,24.70%,80.20%,14.90%,31.30%,11.50%,34.90%,3%,12.10%,POINT (-91.13081697 30.40261322)
22033002700,"1,621",16.30%,28.50%,18.30%,46.70%,78.50%,6.60%,10.20%,85%,7.90%,83.10%,88.80%,65.10%,8.50%,25.20%,22%,22.30%,55.30%,22.90%,15.80%,26.10%,34.10%,4.30%,36.10%,82.60%,17.70%,40.30%,16.30%,41.70%,5.40%,21.50%,POINT (-91.14496524 30.4258829)
22033002801,"3,471",17.70%,8.10%,25%,19.90%,42.20%,1.30%,8.40%,67.70%,1.90%,71.30%,71.50%,54%,3.20%,26.20%,23.70%,20.10%,51.60%,23.70%,4.30%,16%,16.10%,1.50%,30.70%,80.90%,22.10%,25.70%,9.80%,40.60%,1.20%,16.40%,POINT (-91.18973128 30.41283911)
22033002802,"4,111",13.50%,7%,29.30%,14%,30.20%,1.10%,11.20%,66.50%,1.40%,72.30%,70.80%,61.40%,3.20%,27.30%,23.20%,16.50%,59.80%,33.60%,2.20%,12.60%,12.10%,1.20%,25.20%,79.30%,27.50%,24.80%,9.10%,35.80%,0.80%,18.50%,POINT (-91.17080809 30.41226884)
22033003000,"4,758",19.70%,18.50%,20.30%,37.40%,65.30%,3.30%,12.50%,79.10%,5%,82.40%,79%,61.60%,6.30%,19.70%,19.50%,22.20%,45.50%,23.90%,12.20%,25.20%,23%,3.50%,37.90%,83.80%,24.10%,40.60%,14.60%,47%,4.10%,29.60%,POINT (-91.21595182 30.52081804)
22033003101,"4,109",18%,30.60%,15.50%,53%,80.90%,6.60%,11.20%,84.40%,8.90%,86.30%,90.20%,63.40%,8.90%,21.10%,19.80%,22.50%,46.90%,20.90%,20.40%,29.80%,34.10%,5.50%,40.50%,83.30%,18.40%,45.40%,17.70%,46.40%,7%,28%,POINT (-91.1784881 30.53337632)
22033003103,"3,278",24.60%,17.50%,24.90%,40.80%,62.50%,2.90%,9.90%,80.70%,5%,77%,79.10%,52.70%,6.70%,18.80%,17.90%,31%,36.30%,21.40%,12%,28.50%,24.60%,3.10%,40.50%,81.80%,22%,44.20%,15.60%,49.40%,3.80%,37.10%,POINT (-91.15995913 30.53424288)
