"GEOID","NAME","Total_Population","White_Alone","Black_Alone","Asian_Alone","Hispanic_Latino","Percent_White","Percent_Black","Percent_Asian","Percent_Hispanic","Median_Household_Income","Median_Income_Owner_Occupied","Median_Income_Renter_Occupied","Low_Income_Under_35K","Middle_Income_35K_100K","High_Income_100K_Plus","Percent_Low_Income_Under_35K","Percent_High_Income_100K_Plus","Below_Poverty_Level","Percent_Below_Poverty","Percent_Households_Below_Poverty","Children_Below_Poverty","Percent_Children_Below_Poverty","Total_Households","Family_Households","Nonfamily_Living_Alone","Percent_Family_Households","Percent_Single_Person_Households","Households_With_Children_Under_18","Percent_Households_With_Children","Total_Own_Children_Under_18","Children_In_Married_Couple_Families","Children_In_Single_Mother_Families","Percent_Children_Married_Couple","Percent_Children_Single_Parent","Large_Owner_Households_4_Plus","Large_Renter_Households_4_Plus","Percent_Large_Owner_Households","Percent_Large_Renter_Households","Total_Housing_Units","Occupied_Units","Vacant_Units","Percent_Occupied","Percent_Vacant","Owner_Occupied","Renter_Occupied","Percent_Owner_Occupied","Percent_Renter_Occupied","Median_Home_Value","Median_Gross_Rent","Single_Family_Detached","Single_Family_Attached","Mobile_Home","Multi_Family_All_Units","Multi_Family_5_Plus_Units","Multi_Family_10_Plus_Units","Multi_Family_20_Plus_Units","Percent_Single_Family","Percent_Multi_Family_All","Percent_Multi_Family_5_Plus","Percent_Multi_Family_10_Plus","Percent_Multi_Family_20_Plus","Percent_Built_2000_Plus","Percent_Built_Pre_1980","One_Bedroom","Two_Bedrooms","Three_Bedrooms","Four_Bedrooms","Two_Plus_Bedroom_Units","Three_Plus_Bedroom_Units","Percent_Two_Plus_Bedrooms","Percent_Three_Plus_Bedrooms","High_Rent_Burden_30_Plus_Units","High_Rent_Burden_50_Plus_Units","Percent_High_Rent_Burden_30_Plus","Percent_High_Rent_Burden_50_Plus","S2503_Median_Household_Income","S2503_Median_Housing_Costs","S2503_Median_Owner_Costs","S2503_Median_Renter_Costs","Total_Cost_Burden_30_Plus","Percent_Cost_Burden_30_Plus","High_Housing_Costs_1500_Plus","Low_Housing_Costs_Under_800"
"22033000100","Census Tract 1; East Baton Rouge Parish; Louisiana",1120,5,1076,0,0,0.446428571428571,96.0714285714286,0,0,28519,29187,NA,354,148,34,66.044776119403,6.34328358208955,469,41.875,42.3507462686567,183,91.9597989949749,536,326,208,60.8208955223881,38.8059701492537,123,22.9477611940299,192,0,192,0,100,196,616,64.2622950819672,266.666666666667,726,536,190,73.8292011019284,26.1707988980716,305,231,56.9029850746269,43.0970149253731,51500,672,575,0,80,71,0,0,0,79.2011019283747,9.77961432506887,0,0,0,5.09641873278237,71.4876033057851,140,271,293,22,586,315,80.7162534435262,43.3884297520661,98,53,42.4242424242424,22.9437229437229,28519,438,329,329,154,28.7313432835821,18,450
"22033000200","Census Tract 2; East Baton Rouge Parish; Louisiana",6625,102,6244,3,74,1.53962264150943,94.2490566037736,0.0452830188679245,1.11698113207547,22263,42083,20944,1653,637,138,68.0807248764415,5.6836902800659,2949,44.5132075471698,49.341021416804,1082,44.914902449149,2428,1451,817,59.7611202635914,33.6490939044481,839,34.5551894563427,2113,134,1979,6.34169427354472,93.6583057264553,406,3245,71.1033274956217,174.744211093161,2920,2428,492,83.1506849315068,16.8493150684932,571,1857,23.5172981878089,76.4827018121911,110900,653,1323,143,0,1454,1262,953,733,50.2054794520548,49.7945205479452,43.2191780821918,32.6369863013699,25.1027397260274,36.1301369863014,53.5616438356164,618,827,1254,58,2197,1370,75.2397260273973,46.9178082191781,1091,447,58.7506731287022,24.0710823909532,22263,750,776,776,1240,51.0708401976936,91,1459
"22033000300","Census Tract 3; East Baton Rouge Parish; Louisiana",1103,9,1076,0,0,0.815956482320943,97.5521305530372,0,0,25757,55163,NA,333,202,8,61.3259668508287,1.47329650092081,473,43.1963470319635,38.4898710865562,104,56.2162162162162,543,158,378,29.097605893186,69.6132596685083,108,19.8895027624309,152,0,152,0,100,60,593,28.169014084507,179.69696969697,711,543,168,76.3713080168776,23.6286919831224,213,330,39.2265193370166,60.7734806629834,77400,1005,541,8,26,136,16,0,0,77.2151898734177,19.1279887482419,2.25035161744022,0,0,19.2686357243319,71.0267229254571,51,288,341,17,646,358,90.8579465541491,50.351617440225,223,126,67.5757575757576,38.1818181818182,25757,767,464,464,282,51.9337016574586,0,282
"22033000400","Census Tract 4; East Baton Rouge Parish; Louisiana",2260,168,2061,9,38,7.43362831858407,91.1946902654867,0.398230088495575,1.68141592920354,28578,NA,30045,480,250,125,56.140350877193,14.6198830409357,605,26.7699115044248,33.9181286549708,142,50.354609929078,855,386,424,45.1461988304094,49.5906432748538,175,20.4678362573099,254,36,197,14.1732283464567,85.8267716535433,303,748,61.5853658536585,206.060606060606,1087,855,232,78.656853725851,21.343146274149,492,363,57.5438596491228,42.4561403508772,177400,978,1003,5,0,79,25,21,0,92.7322907083717,7.26770929162834,2.29990800367985,1.93192272309108,0,7.91168353265869,82.2447102115915,31,395,436,184,1056,661,97.148114075437,60.8095676172953,233,170,64.1873278236915,46.831955922865,28578,929,816,816,525,61.4035087719298,84,264
"22033000500","Census Tract 5; East Baton Rouge Parish; Louisiana",3024,98,2871,0,7,3.24074074074074,94.9404761904762,0,0.231481481481481,23303,25379,22932,751,325,37,67.4752920035939,3.32434860736748,1689,55.8531746031746,54.4474393530997,567,87.5,1113,648,445,58.2210242587601,39.9820305480683,238,21.3836477987421,542,0,451,0,100,210,1412,57.0652173913043,189.530201342282,1618,1113,505,68.7886279357231,31.2113720642769,368,745,33.0637915543576,66.9362084456424,80900,790,1424,16,5,173,30,30,0,88.9987639060569,10.6922126081582,1.85414091470952,1.85414091470952,0,1.48331273176761,93.6959208899876,77,823,632,55,1510,687,93.3250927070457,42.459826946848,462,333,62.0134228187919,44.6979865771812,23303,704,459,459,597,53.6388140161725,43,638
"22033000601","Census Tract 6.01; East Baton Rouge Parish; Louisiana",2308,11,2297,0,0,0.476603119584055,99.5233968804159,0,0,21678,NA,20515,570,163,165,63.4743875278396,18.3741648106904,973,42.157712305026,50.6681514476615,332,62.2889305816135,898,495,387,55.1224944320713,43.0957683741648,201,22.3830734966592,421,60,361,14.2517814726841,85.7482185273159,259,1014,44.8096885813149,316.875,1183,898,285,75.9087066779374,24.0912933220626,578,320,64.3652561247216,35.6347438752784,96900,996,937,0,0,246,143,118,79,79.2054099746407,20.7945900253593,12.0879120879121,9.97464074387151,6.67793744716822,6.84699915469146,86.8977176669484,80,178,625,195,1033,855,87.3203719357565,72.2738799661877,231,147,72.1875,45.9375,21678,913,723,723,536,59.6881959910913,99,362
"22033000602","Census Tract 6.02; East Baton Rouge Parish; Louisiana",3631,0,3541,0,61,0,97.521343982374,0,1.67997796750207,25699,29031,25099,961,377,119,65.9574468085106,8.16746739876458,863,23.7675571467915,28.0027453671929,175,29.2153589315526,1457,840,617,57.652711050103,42.347288949897,344,23.6101578586136,455,58,371,12.7472527472527,87.2527472527473,533,1635,80.5135951661631,205.660377358491,1755,1457,298,83.019943019943,16.980056980057,662,795,45.4358270418669,54.5641729581331,93900,841,1463,0,47,245,209,160,103,83.3618233618234,13.960113960114,11.9088319088319,9.11680911680912,5.86894586894587,1.1965811965812,85.8689458689459,93,671,738,187,1596,925,90.9401709401709,52.7065527065527,392,330,49.3081761006289,41.5094339622642,25699,658,518,518,533,36.5820178448868,83,870
"22033000701","Census Tract 7.01; East Baton Rouge Parish; Louisiana",2138,6,1853,0,279,0.280636108512629,86.6697848456501,0,13.0495790458372,30849,52500,27944,414,203,60,61.152141802068,8.86262924667651,970,45.3695042095416,38.5524372230428,460,59.5084087968952,677,389,255,57.4593796159527,37.6661742983752,333,49.1875923190547,596,129,266,21.6442953020134,78.3557046979866,225,718,83.955223880597,175.550122249389,858,677,181,78.9044289044289,21.0955710955711,268,409,39.5864106351551,60.4135893648449,126600,887,512,10,79,257,257,176,100,60.8391608391608,29.95337995338,29.95337995338,20.5128205128205,11.6550116550117,16.4335664335664,68.0652680652681,88,238,296,131,690,452,80.4195804195804,52.6806526806527,333,205,81.4180929095355,50.1222493887531,30849,789,553,553,435,64.2540620384047,86,348
"22033000702","Census Tract 7.02; East Baton Rouge Parish; Louisiana",3288,74,3063,47,95,2.25060827250608,93.1569343065693,1.4294403892944,2.88929440389294,41394,50091,39205,413,694,86,34.6186085498743,7.20871751886002,822,25.2147239263804,19.279128248114,198,18.8571428571429,1193,735,427,61.6093880972339,35.7921207041073,508,42.5817267393127,911,41,802,4.50054884742042,95.4994511525796,364,1337,71.7948717948718,194.897959183673,1363,1193,170,87.527512839325,12.472487160675,507,686,42.4979044425817,57.5020955574183,112400,907,924,0,5,434,430,430,304,67.7916360968452,31.8415260454879,31.5480557593544,31.5480557593544,22.3037417461482,9.31768158473955,78.7967718268525,222,293,715,66,1086,793,79.6771826852531,58.1804842259721,325,78,47.3760932944606,11.3702623906706,41394,880,831,831,441,36.9656328583403,81,385
"22033000900","Census Tract 9; East Baton Rouge Parish; Louisiana",3561,37,3225,0,90,1.03903397921932,90.564448188711,0,2.5273799494524,42167,39943,47754,584,507,281,42.5655976676385,20.4810495626822,896,25.1614714967706,26.603498542274,192,28.6995515695067,1372,831,500,60.5685131195335,36.4431486880466,216,15.7434402332362,219,108,111,49.3150684931507,50.6849315068493,621,1418,77.7221526908636,247.469458987784,1823,1372,451,75.2605595172792,24.7394404827208,799,573,58.2361516034985,41.7638483965015,97200,1073,1585,102,13,123,0,0,0,92.5397696105321,6.74712013165112,0,0,0,7.78935820076796,89.6873285792649,224,440,995,115,1550,1110,85.0246845858475,60.8886450905102,289,183,50.4363001745201,31.9371727748691,42167,804,573,573,443,32.2886297376093,37,673
